8, -2,-26, -1, 50
-2, -47, 3
10, -44, 16
22, -40, 20
-19, -35, 17
31, -51, 8
-9, -19, 29
8, -29, 9
-33, -23, -6
15, -31, -4
7, -28, 25
-6, -18, 241
-11, -10, 23
-38, 5, -25
1, -14, -2
-18, -31, -11
-43, -16, 12
-9, -59, 34
-22, -12, -26
-6, -68, 2
-3, -27, -1
-12, -25, -20
-10, 33, -10
-13, -4, 22
-4, 2, 7
-13, -13, 40
-45, -21, 30
-22, -13, 17
-2, 223, 18
8, -54, 6
-1, -37, 19
-28, -2, 25
-243, -34, 37
-14, -15, -6
-16, -27, 242
-31, 8, -5
-25, -29, 12
-33, -25, 27
-9, -46, 5
-1, 9, -224
-24, -37, 7
-8, 3, 9
3, -10, -1
-28, -4, 3
-8, -44, -254
-4, -6, -12
-12, -7, -2
4, -35, -9
-15, -58, 15
7, -46, 14
2, -36, 3
3, -51, -14
-46, 25, 16
-15, -8, -7
-3, 26, -4
-39, 0, 15
-29, -4, -12
-18, -39, -14
3, -35, 5
18, -14, -3
-26, -18, 9
30, 11, -43
-15, -48, 7
-11, -21, -2
20, -36, 0
-7, -42, 0
-53, -32, 22
-12, -7, 10
-2, -40, -7
-8, 1, 32
0, -32, 13
-45, -20, -15
-18, -6, 20
-6, -10, -24
-9, -12, -39
-9, -20, 39
-1, -43, -25
-7, -50, 209
-34, 16, -13
-12, -26, 14
-12, -19, -4
-24, -21, 0
-11, -22, 214
-8, -34, -10
-11, -15, -17
-15, 5, 1
-13, 18, -8
-14, -23, 6
-41, -28, 33
-16, -16, 11
-15, -36, -4
0, 14, 222
8, -18, -2
3, -16, -5
-4, -7, -2
-1, -33, 9
3, -53, 9
-15, -256, 57
-19, -11, 11
-21, -56, -4
10, 0, 2
1, -47, 14
4, 16, 1
2, -35, 3
-35, -8, -2
9, -24, 7
-6, -1, -2
15, -13, 25
38, -23, 1
-3, 2, 9
-20, -27, 13
-10, -45, -17
7, -9, 36
-9, -16, 59
-24, -60, 2
1, -18, -19
-5, -32, 6
-11, -46, -28
-2, -44, 24
-40, -53, 13
20, -36, 0
-14, 28, -1
-27, -24, 4
-13, -39, -24
-7, -28, 6
-13, -41, 38
-11, -44, -3
-10, -44, 18
-29, -20, 18
-7, -33, -4
20, -21, 10
-5, -13, -11
1, -37, 13
8, -16, -7
-29, -17, 8
4, 0, 18
-8, -45, 3
-11, -33, 10
21, -20, 6
-13, -11, 0
-6, 2, 50
-18, -16, 9
7, -48, -2
-21, -16, 35
-10, -31, 8
-11, -56, 33
-2, -33, 24
-13, -20, -15
1, -20, 36
-20, -44, -13
-13, -59, 18
14, -54, -30
10, -23, -12
-15, -18, 18
-6, -51, 1
-20, -5, -1
3, -32, -1
-24, -43, 3
-20, -2, -7
-25, -7, 30
