-45, 15, -986
-45, 16, -985
-42, 15, -986
-49, 15, -986
-41, 17, -985
-40, 18, -986
-45, 15, -988
-45, 15, -986
-36, 16, -985
-42, 17, -983
-42, 13, -984
-43, 14, -985
-45, 13, -987
-42, 12, -986
-43, 16, -985
-42, 15, -983
-46, 15, -985
-46, 17, -985
-40, 15, -985
-44, 16, -983
-46, 17, -984
-45, 18, -984
-45, 16, -984
-48, 16, -985
-42, 16, -987
-41, 17, -983
-42, 16, -986
-44, 15, -982
-45, 16, -983
-46, 16, -987
-44, 14, -985
-45, 14, -983
-40, 14, -983
-44, 15, -986
-45, 16, -984
-43, 16, -985
-43, 17, -985
-45, 15, -985
-44, 16, -985
-43, 16, -984
-45, 16, -983
-47, 15, -982
-45, 15, -986
-45, 16, -988
-45, 16, -984
-45, 16, -985
-41, 16, -986
-43, 15, -984
-45, 15, -984
-43, 17, -986
-44, 16, -986
-43, 15, -985
-41, 20, -981
-46, 13, -988
-45, 15, -985
-45, 16, -983
-45, 16, -985
-45, 17, -987
-43, 18, -984
-45, 17, -984
-46, 16, -985
-44, 16, -987
-42, 15, -985
-45, 17, -985
-42, 16, -984
-44, 16, -984
-44, 16, -986
-45, 16, -984
-45, 15, -984
-42, 18, -986
-44, 17, -987
-45, 16, -987
-44, 15, -984
-42, 15, -986
-44, 16, -983
-45, 17, -984
-43, 15, -984
-43, 18, -986
-44, 17, -984
-45, 17, -984
-45, 16, -983
-43, 15, -986
-43, 16, -983
-44, 16, -983
-44, 16, -985
-43, 16, -985
-43, 17, -985
-44, 16, -985
-42, 16, -987
-43, 16, -984
-46, 17, -983
-44, 16, -985
-43, 15, -984
-45, 15, -984
-44, 16, -984
-44, 17, -983
-43, 16, -985
-44, 15, -985
-42, 16, -983
-43, 15, -984
-45, 16, -983
-45, 14, -985
-44, 17, -985
-42, 16, -985
-42, 15, -984
-45, 16, -985
-45, 15, -987
-44, 17, -986
-42, 18, -986
-42, 17, -986
-45, 17, -987
-45, 16, -984
-43, 17, -984
-43, 16, -983
-43, 17, -984
-40, 15, -986
-43, 18, -984
-44, 16, -986
-42, 16, -985
-43, 15, -985
-44, 16, -988
-44, 18, -988
-44, 16, -982
-43, 17, -984
-44, 15, -985
-40, 15, -982
-45, 15, -984
-45, 17, -986
-43, 17, -985
-48, 16, -984
-42, 18, -985
-39, 17, -985
-46, 16, -983
-46, 18, -984
-42, 16, -984
-43, 18, -985
-47, 18, -983
-42, 16, -985
-41, 16, -984
-46, 16, -985
-45, 14, -984
-41, 14, -982
-42, 16, -983
-43, 18, -985
-44, 16, -983
-42, 16, -983
-41, 15, -987
-42, 14, -985
-45, 18, -985
-44, 17, -982
-40, 13, -982
-42, 17, -985
-46, 17, -981
-43, 14, -982
-41, 16, -984
-43, 17, -985
-45, 16, -983
-44, 14, -984
-44, 15, -984
-44, 15, -985
-43, 16, -985
-42, 14, -986
-44, 16, -986
-43, 17, -985
-44, 16, -984
-43, 16, -989
-45, 18, -985
-44, 17, -986
-45, 17, -984
